name,length
"Charles Street",0.1972454756676116
"Lafayette Street",0.1112533664549737
"Del Rio Drive",0.1509230551592696
"Alabama Street",0.5635729274234987
"Lynwood Place",0.07418891284623197
"Central Avenue",0.5473835555207892
"Hillside Avenue",0.1500292291008501
"Carmel Street",0.1688747274435344
"Spring Street",0.02371864884224321
"West Rock Avenue",0.4035378991945516
"Compton Street",0.09679582922384991
"High Street",0.3592230780244044
"Ellsworth Street",0
"Bailey Street",0.3439334385562996
"Barclay Street",0.226834933680731
"Oak Ridge Drive",0.09607526252926271
"Pequot Street",0.02412391921127497
"Stevenson Road",0.5723197142657205
"Saint Ronan Street",0.2629209508073925
"Springside Avenue",0.4417680225932999
"Grafton Street",0.5334183153225519
"Eddy Street",0.09993545630767256
"Quinnipiac Avenue",2.223310540030233
"Amity Road",0.265973650898518
"Colonial Place",0.02997126049234559
"Hillside Place",0.1789854194154271
"Earl Street",0.1072484284437467
"Maple Street",0.7241438522996725
"Raynham Road",0.2223488870669738
"Edward Street",0
"Daniel Drive",0.2079801983545573
"Brown Street",0.04072797161968262
"Brown Place",0.02969073954061556
"Osborn Street",0.0213084910694683
"Allen Place",0.1425127872358503
"Tyler Street",0.07554134550454535
"East Rock Road",0.8260158546483516
"Tour Avenue",0.06150120168688804
"Beacon Avenue",0.1649036038276814
"Cottage Street",0.486705911467929
"Cleveland Road",0.4858063242999318
"Soundview Terrace",0.2018778120722678
"Adeline Street",0.2741505161521652
"Seneca Road",0.2570470754948978
"Pendleton Street",0.2191292299763447
"Tuttle Street",0.1772491250884939
"East Shore Parkway",0.03705584738093268
"Edgewood Avenue",3.303560516183369
"Stewart Street",0.06085509472084993
"Limerick Street",0.1117970232879626
"Oak Ridge Road",0
"Beers Street",0.1368874423065796
"Rock Street",0.2431252926711435
"South End Road",0.1836494607320215
"Winter Street",0.111570064114199
"Tuttle Place",0
"Platt Street",0.07717966265418587
"Castle Street",0.1871948675875433
"Boston Avenue",0.05034827725005075
"Burwell Street",0.3840500713089897
"Miller Street",0.02583521504994934
"Eld Street",0.1821905579094604
"Exchange Street",0.9840836460119766
"Filmore Street",0.1878706502187631
"Laurel Road",0.1630567872725504
"Burton Street",0.1730149650829189
"Willow Avenue",0.035996821735112
"Chapel Street",5.435444011024204
"Nash Street",0.2373071058177053
"Roger White Drive",0.3109554547762281
"Eagle Street",0.2153658563078156
"Dean Street",0.2898090272923746
"Lock Street",0.1562987086253787
"Edgemere Road",0.0647935853552235
"Audubon Street",0.2578557604586812
"Everit Street",0.2798884699990153
"Long Wharf Drive",1.204158999111318
"Davis Street",0.1397730294131959
"Cedar Hill Avenue",0.1098872543634237
"Elm Street",2.427142297330523
"County Street",0.2998483662628861
"Harding Place",0.1355658943611741
"Reservoir Street",0.04742079050953173
"Clinton Place",0.1170498872642954
"Grand Avenue",2.383557284184711
"Percival Street",0.1495931950671822
"Frank Street",0.4057515695518362
"Oliver Road",0.4975068630341493
"Eden Street",0.1097586274680513
"Richard Street",0.0285972745810859
"Shepard Street",0.08775421948599427
"Peat Meadow Road",0.3410342709282986
"Cranston Street",0.3765050940491354
"Judith Terrace",0.2059383848301137
"Mountain Road",0.2216511187899079
"Bank Street",0.1141008498246867
"Bellevue Road",0.3176761137036433
"Morse Place",0.2678499310794993
"Greenwood Street",0.1232535557614771
"Gilnock Drive",0.06931130961873586
"Huntington Avenue",0.1180665376944977
"Lincoln Street",0.2074778397203246
"Richmond Avenue",0.1094123967656991
"Constance Street",0.05875432352478557
"Diamond Street",0.3817897281651492
"Division Street",0.833503435365666
"Marvelwood Drive",0.3018278007836899
"Ira Street",0.04903687768633417
"Warren Place",0.1787128461856034
"Admiral Street",0.263734176147414
"Marie Street",0.1063418056706256
"Fountain Terrace",0.1925960985707117
"Taylor Avenue",0.1994196020491937
"Cora Street",0.05669135807805305
"Walnut Street",0.1474215129491662
"James Street",0.3952127802972035
"Mansfield Street",0.3560796167942747
"Runo Terrace",0.07467808710476177
"Douglass Avenue",0.1639597200369224
"Summit Street",0.2704749528843035
"Gem Street",0.03381962003703848
"Butler Street",0.1445040138794576
"Linden Street",0.5122399107553947
"Woodward Avenue",1.014169720736365
"Crescent Street",0.845385857839985
"Goffe Street",0.7187398777196267
"West Prospect Street",0.06898154331964784
"Fairfield Street",0.8798248630354828
"Ramsdell Place",0.04927553216896748
"Flint Street",0.1009453318339877
"Spring Avenue",0.6578879733901316
"Providence Street",0.1016090296951834
"Doty Place",0.1078126319151325
"Grace Street",0.1112882838933536
"Derby Avenue",0.7714480888639448
"Jewell Street",0.2488813471372754
"Downing Street",0.1697195758619927
"Irving Street",0.2368297860735552
"Morris Avenue",0.1236466965085235
"Button Street",0.1170219009208439
"Orchard Street",0.7802720540739131
"Hallock Street",0.2060593918348401
"Oak Street",0
"Mumford Road",0.1409902244765106
"View Street",0.1120051974085411
"Beverly Road",0.2312253217118059
"6th Street",0.1880306525397595
"Sargent Drive",0.9633776588849008
"Wooster Street",0.4879288312723836
"Willard Street",0.526315413036473
"Melrose Drive",0.1694201153612347
"Stuyvesant Avenue",0.4115464105204844
"Wilson Street",0.06019152864421654
"Winthrop Avenue",0.916598377282359
"Warren Street",0.06260538076832287
"Kneeland Road",0.2959936318638249
"Ellis Street",0.06478854820924121
"Ashland Place",0.3010778979382446
