name,n_issues,nh_length
"Charles Street",3,0.1972454756676116
"Lafayette Street",8,0.1112533664549737
"Shepard Street",12,0.05467601430657303
"Alabama Street",1,0.5635729274234987
"Lynwood Place",32,0.07418891284623197
"Central Avenue",154,0.5284654271911297
"Hillside Avenue",26,0.1500292291008501
"Carmel Street",30,0.1688747274435344
"Miller Street",10,0.02583521504994934
"West Rock Avenue",113,0.4035378991945516
"Compton Street",18,0.09679582922384991
"High Street",52,0.3592230780244044
"Bailey Street",9,0.3439334385562996
"Barclay Street",14,0.226834933680731
"Oak Ridge Drive",15,0.09607526252926271
"Pequot Street",2,0.02412391921127497
"Stevenson Road",64,0.5723197142657205
"Saint Ronan Street",34,0.2629209508073925
"Springside Avenue",77,0.4417680225932999
"Grafton Street",47,0.5334183153225519
"Eddy Street",3,0.09993545630767256
"Quinnipiac Avenue",304,2.199222747918403
"Amity Road",11,0.2547024030650247
"Colonial Place",10,0.02997126049234559
"Hillside Place",4,0.1789854194154271
"Earl Street",11,0.1072484284437467
"Maple Street",64,0.7241438522996725
"Raynham Road",11,0.2223488870669738
"Daniel Drive",10,0.2079801983545573
"Brown Street",24,0.04072797161968262
"Brown Place",2,0.02969073954061556
"Osborn Street",6,0.0213084910694683
"Allen Place",5,0.1425127872358503
"Tyler Street",2,0.07554134550454535
"East Rock Road",72,0.8260158546483516
"Tour Avenue",5,0.06150120168688804
"Beacon Avenue",34,0.1649036038276814
"Cottage Street",72,0.486705911467929
"Cleveland Road",58,0.4858063242999318
"Soundview Terrace",9,0.2018778120722678
"Adeline Street",33,0.2741505161521652
"Seneca Road",18,0.2570470754948978
"Pendleton Street",54,0.2191292299763447
"Tuttle Street",7,0.1772491250884939
"East Shore Parkway",2,0.03705584738093268
"Edgewood Avenue",481,3.303560516183369
"Stewart Street",7,0.06085509472084993
"Limerick Street",2,0.1117970232879626
"Beers Street",27,0.1368874423065796
"Rock Street",23,0.2431252926711435
"Winter Street",6,0.111570064114199
"Platt Street",18,0.07717966265418587
"Castle Street",12,0.1871948675875433
"Burwell Street",54,0.3840500713089897
"Eld Street",64,0.1821905579094604
"Exchange Street",88,0.9840836460119766
"Filmore Street",7,0.1878706502187631
"Laurel Road",8,0.1630567872725504
"Burton Street",9,0.1730149650829189
"Willow Avenue",1,0.035996821735112
"Chapel Street",989,5.435444011024204
"Nash Street",86,0.2373071058177053
"Roger White Drive",34,0.3109554547762281
"Eagle Street",11,0.2153658563078156
