id,rtt,rtid,score
1,"Sidewalks and Curb damage","117",20
2,"Sidewalks and Curb damage","117",6
3,"Sidewalks and Curb damage","117",9
4,"Sidewalks and Curb damage","117",4
5,"Sidewalks and Curb damage","117",5
6,"Sidewalks and Curb damage","117",4
7,"Sidewalks and Curb damage","117",6
8,"Sidewalks and Curb damage","117",5
9,"Sidewalks and Curb damage","117",11
10,"Sidewalks and Curb damage","117",4
11,"Sidewalks and Curb damage","117",7
12,"Sidewalks and Curb damage","117",2
13,"Sidewalks and Curb damage","117",8
14,"Sidewalks and Curb damage","117",5
15,"Sidewalks and Curb damage","117",4
16,"Sidewalks and Curb damage","117",9
17,"Sidewalks and Curb damage","117",17
18,"Sidewalks and Curb damage","117",7
19,"Sidewalks and Curb damage","117",7
20,"Sidewalks and Curb damage","117",4
21,"Sidewalks and Curb damage","117",8
22,"Sidewalks and Curb damage","117",5
23,"Sidewalks and Curb damage","117",2
24,"Sidewalks and Curb damage","117",4
25,"Sidewalks and Curb damage","117",6
26,"Sidewalks and Curb damage","117",6
27,"Sidewalks and Curb damage","117",1
28,"Sidewalks and Curb damage","117",5
29,"Sidewalks and Curb damage","117",6
30,"Sidewalks and Curb damage","117",8
31,"Sidewalks and Curb damage","117",5
32,"Sidewalks and Curb damage","117",9
33,"Sidewalks and Curb damage","117",3
34,"Sidewalks and Curb damage","117",2
35,"Sidewalks and Curb damage","117",3
36,"Sidewalks and Curb damage","117",5
37,"Sidewalks and Curb damage","117",7
38,"Sidewalks and Curb damage","117",9
39,"Sidewalks and Curb damage","117",4
40,"Sidewalks and Curb damage","117",10
41,"Sidewalks and Curb damage","117",1
42,"Sidewalks and Curb damage","117",10
43,"Sidewalks and Curb damage","117",5
44,"Sidewalks and Curb damage","117",2
45,"Sidewalks and Curb damage","117",4
46,"Sidewalks and Curb damage","117",6
47,"Sidewalks and Curb damage","117",8
48,"Sidewalks and Curb damage","117",4
49,"Sidewalks and Curb damage","117",2
50,"Sidewalks and Curb damage","117",5
51,"Sidewalks and Curb damage","117",5
52,"Sidewalks and Curb damage","117",1
53,"Sidewalks and Curb damage","117",7
54,"Sidewalks and Curb damage","117",9
55,"Sidewalks and Curb damage","117",6
56,"Sidewalks and Curb damage","117",5
57,"Sidewalks and Curb damage","117",1
58,"Sidewalks and Curb damage","117",17
59,"Sidewalks and Curb damage","117",4
60,"Sidewalks and Curb damage","117",5
61,"Sidewalks and Curb damage","117",3
62,"Sidewalks and Curb damage","117",6
63,"Sidewalks and Curb damage","117",23
64,"Sidewalks and Curb damage","117",14
65,"Sidewalks and Curb damage","117",4
66,"Sidewalks and Curb damage","117",4
67,"Sidewalks and Curb damage","117",1
68,"Sidewalks and Curb damage","117",5
69,"Sidewalks and Curb damage","117",5
70,"Sidewalks and Curb damage","117",2
71,"Sidewalks and Curb damage","117",12
72,"Sidewalks and Curb damage","117",8
73,"Sidewalks and Curb damage","117",7
74,"Sidewalks and Curb damage","117",3
75,"Sidewalks and Curb damage","117",12
76,"Sidewalks and Curb damage","117",7
77,"Sidewalks and Curb damage","117",6
78,"Sidewalks and Curb damage","117",6
79,"Sidewalks and Curb damage","117",6
80,"Sidewalks and Curb damage","117",7
81,"Sidewalks and Curb damage","117",5
82,"Sidewalks and Curb damage","117",4
83,"Sidewalks and Curb damage","117",11
84,"Sidewalks and Curb damage","117",4
85,"Sidewalks and Curb damage","117",1
86,"Sidewalks and Curb damage","117",4
87,"Sidewalks and Curb damage","117",4
88,"Sidewalks and Curb damage","117",4
89,"Sidewalks and Curb damage","117",4
90,"Sidewalks and Curb damage","117",3
91,"Sidewalks and Curb damage","117",4
92,"Sidewalks and Curb damage","117",9
93,"Sidewalks and Curb damage","117",4
94,"Sidewalks and Curb damage","117",5
95,"Sidewalks and Curb damage","117",1
96,"Sidewalks and Curb damage","117",9
97,"Sidewalks and Curb damage","117",3
98,"Sidewalks and Curb damage","117",8
99,"Sidewalks and Curb damage","117",5
100,"Sidewalks and Curb damage","117",5
101,"Sidewalks and Curb damage","117",5
102,"Sidewalks and Curb damage","117",3
103,"Sidewalks and Curb damage","117",4
104,"Sidewalks and Curb damage","117",8
105,"Sidewalks and Curb damage","117",2
106,"Sidewalks and Curb damage","117",2
107,"Sidewalks and Curb damage","117",3
108,"Sidewalks and Curb damage","117",3
109,"Sidewalks and Curb damage","117",5
110,"Sidewalks and Curb damage","117",10
111,"Sidewalks and Curb damage","117",11
112,"Sidewalks and Curb damage","117",4
113,"Sidewalks and Curb damage","117",2
114,"Sidewalks and Curb damage","117",6
115,"Sidewalks and Curb damage","117",8
116,"Sidewalks and Curb damage","117",4
117,"Sidewalks and Curb damage","117",3
118,"Sidewalks and Curb damage","117",3
119,"Sidewalks and Curb damage","117",6
120,"Sidewalks and Curb damage","117",7
121,"Sidewalks and Curb damage","117",4
122,"Sidewalks and Curb damage","117",2
123,"Sidewalks and Curb damage","117",6
124,"Sidewalks and Curb damage","117",4
125,"Sidewalks and Curb damage","117",5
126,"Sidewalks and Curb damage","117",5
127,"Sidewalks and Curb damage","117",4
128,"Sidewalks and Curb damage","117",3
129,"Sidewalks and Curb damage","117",5
130,"Sidewalks and Curb damage","117",1
131,"Sidewalks and Curb damage","117",7
132,"Sidewalks and Curb damage","117",6
133,"Sidewalks and Curb damage","117",4
134,"Sidewalks and Curb damage","117",8
135,"Sidewalks and Curb damage","117",5
136,"Sidewalks and Curb damage","117",3
137,"Sidewalks and Curb damage","117",4
138,"Sidewalks and Curb damage","117",6
139,"Sidewalks and Curb damage","117",5
140,"Sidewalks and Curb damage","117",8
141,"Sidewalks and Curb damage","117",6
142,"Sidewalks and Curb damage","117",3
143,"Sidewalks and Curb damage","117",8
144,"Sidewalks and Curb damage","117",2
145,"Sidewalks and Curb damage","117",4
146,"Sidewalks and Curb damage","117",1
147,"Sidewalks and Curb damage","117",2
148,"Sidewalks and Curb damage","117",5
149,"Sidewalks and Curb damage","117",1
150,"Sidewalks and Curb damage","117",5
151,"Sidewalks and Curb damage","117",6
152,"Sidewalks and Curb damage","117",2
153,"Sidewalks and Curb damage","117",6
154,"Sidewalks and Curb damage","117",5
155,"Sidewalks and Curb damage","117",5
156,"Sidewalks and Curb damage","117",2
157,"Sidewalks and Curb damage","117",4
158,"Sidewalks and Curb damage","117",6
159,"Sidewalks and Curb damage","117",1
160,"Sidewalks and Curb damage","117",3
161,"Sidewalks and Curb damage","117",2
162,"Sidewalks and Curb damage","117",3
163,"Sidewalks and Curb damage","117",3
164,"Sidewalks and Curb damage","117",5
165,"Sidewalks and Curb damage","117",3
166,"Sidewalks and Curb damage","117",3
167,"Sidewalks and Curb damage","117",2
168,"Sidewalks and Curb damage","117",2
169,"Sidewalks and Curb damage","117",3
170,"Sidewalks and Curb damage","117",2
171,"Sidewalks and Curb damage","117",1
172,"Sidewalks and Curb damage","117",6
173,"Sidewalks and Curb damage","117",4
174,"Sidewalks and Curb damage","117",6
175,"Sidewalks and Curb damage","117",1
176,"Sidewalks and Curb damage","117",3
177,"Sidewalks and Curb damage","117",2
178,"Sidewalks and Curb damage","117",5
179,"Sidewalks and Curb damage","117",1
180,"Sidewalks and Curb damage","117",1
181,"Sidewalks and Curb damage","117",5
182,"Sidewalks and Curb damage","117",6
183,"Sidewalks and Curb damage","117",2
184,"Sidewalks and Curb damage","117",1
185,"Sidewalks and Curb damage","117",5
186,"Sidewalks and Curb damage","117",1
187,"Sidewalks and Curb damage","117",5
188,"Sidewalks and Curb damage","117",1
189,"Sidewalks and Curb damage","117",4
190,"Sidewalks and Curb damage","117",1
191,"Sidewalks and Curb damage","117",1
192,"Sidewalks and Curb damage","117",1
193,"Sidewalks and Curb damage","117",3
194,"Sidewalks and Curb damage","117",7
195,"Sidewalks and Curb damage","117",7
196,"Potholes","116",5
197,"Potholes","116",2
198,"Potholes","116",5
199,"Potholes","116",6
200,"Potholes","116",14
201,"Potholes","116",19
202,"Potholes","116",5
203,"Potholes","116",4
204,"Potholes","116",3
205,"Potholes","116",6
206,"Potholes","116",3
207,"Potholes","116",3
208,"Potholes","116",10
209,"Potholes","116",11
210,"Potholes","116",3
211,"Potholes","116",3
212,"Potholes","116",11
213,"Potholes","116",5
